C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,2,0,2,0,0,4,2,3,2,0,2491.639435929086,2475.629803045552,0.9252235371466134,2020-12-25,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2390.860612276604,2475.629803045552,0.9252235371466134,2020-12-26,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2390.4618410036114,2475.629803045552,0.9252235371466134,2020-12-27,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2428.471048892823,2475.629803045552,0.9252235371466134,2020-12-28,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2481.7160513980784,2475.629803045552,0.9252235371466134,2020-12-29,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2541.5405438125345,2475.629803045552,0.9252235371466134,2020-12-30,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2604.719088006126,2475.629803045552,0.9252235371466134,2020-12-31,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2670.0581939644658,2501.1181970506063,0.9252235371466134,2021-01-01,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2737.1245081055554,2550.5844678833137,0.9252235371466134,2021-01-02,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2805.7689285406623,2609.914051817178,0.9252235371466134,2021-01-03,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2875.948528893847,2673.839406103038,0.9252235371466134,2021-01-04,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2947.659860887484,2740.402807458668,0.9252235371466134,2021-01-05,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3020.913981365913,2808.8847271091504,0.9252235371466134,2021-01-06,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3095.7270664695216,2879.0287240324933,0.9252235371466134,2021-01-07,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3172.116844412604,2950.7513883822257,0.9252235371466134,2021-01-08,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3250.1012570897187,3024.0337810942497,0.9252235371466134,2021-01-09,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3329.697910034338,3098.880778450489,0.9252235371466134,2021-01-10,Hungary,,Plan 1
