C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,2931.4050083932475,2643.965564110859,0.1238653571428562,2021-05-29,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2753.0448510673914,2643.965564110859,0.1238653571428562,2021-05-30,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2665.137654037786,2643.965564110859,0.1238653571428562,2021-05-31,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2607.540811403724,2643.965564110859,0.1238653571428562,2021-06-01,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2560.1971298977874,2643.965564110859,0.1238653571428562,2021-06-02,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2516.425408353945,2643.965564110859,0.1238653571428562,2021-06-03,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2474.0080856221302,2643.965564110859,0.1238653571428562,2021-06-04,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2432.2171461465477,2572.6530123613297,0.1238653571428562,2021-06-05,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2390.82130776025,2520.9067918888823,0.1238653571428562,2021-06-06,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2349.754596869559,2475.8520694362783,0.1238653571428562,2021-06-07,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2309.005684119605,2433.204194109975,0.1238653571428562,2021-06-08,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2268.580900358209,2391.544732747178,0.1238653571428562,2021-06-09,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2228.4919237805007,2350.4113778081146,0.1238653571428562,2021-06-10,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2188.751675731386,2309.660462109437,0.1238653571428562,2021-06-11,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2149.37292381982,2269.2541446341893,0.1238653571428562,2021-06-12,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2110.3678530042334,2229.189365383331,0.1238653571428562,2021-06-13,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2071.747925109968,2189.474126560532,0.1238653571428562,2021-06-14,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2033.5238444270844,2150.119578033029,0.1238653571428562,2021-06-15,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1995.7055578124566,2111.1373862407786,0.1238653571428562,2021-06-16,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1958.3022673495925,2072.538863893506,0.1238653571428562,2021-06-17,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1921.3224471677265,2034.3346883844117,0.1238653571428562,2021-06-18,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1895.7500828929108,1998.1028539662814,0.1114814285714277,2021-06-19,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1878.4552710494406,1964.972485115597,0.1114814285714277,2021-06-20,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1866.4578368462078,1935.6453296493453,0.1114814285714277,2021-06-21,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1858.1960747846774,1910.5985054147159,0.1114814285714277,2021-06-22,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1852.7066276510793,1890.1700868202336,0.1114814285714277,2021-06-23,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1849.3200845836084,1874.6012035679505,0.1114814285714277,2021-06-24,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1847.5379003208036,1864.06055401839,0.1114814285714277,2021-06-25,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1846.975322909,1857.0927311635453,0.1114814285714277,2021-06-26,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1847.3301445444533,1852.6462845199758,0.1114814285714277,2021-06-27,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1848.362842254762,1850.0612852926267,0.1114814285714277,2021-06-28,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1849.882627061081,1848.873649903541,0.1114814285714277,2021-06-29,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1851.737053977357,1848.7351393787242,0.1114814285714277,2021-06-30,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1853.8040503680083,1849.3757059193522,0.1114814285714277,2021-07-01,Uruguay,,Plan 1
3,0,2,4,2,0,0,3,2,3,2,4,1855.9857054320148,1850.5825352209533,0.1114814285714277,2021-07-02,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1848.0685643337995,1850.7387125673536,0.1238653571428562,2021-07-03,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1832.3108142704125,1848.5930939567768,0.1238653571428562,2021-07-04,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1811.3306366053564,1843.3027788640045,0.1238653571428562,2021-07-05,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1786.6171603167777,1834.2648550433894,0.1238653571428562,2021-07-06,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1759.1663533542946,1821.0404692400946,0.1238653571428562,2021-07-07,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1729.7107191131406,1803.3128504893994,0.1238653571428562,2021-07-08,Uruguay,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1698.8134758873605,1780.859674840163,0.1238653571428562,2021-07-09,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1692.6180086799868,1758.652452603904,0.08671357142857071,2021-07-10,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1707.3738290278259,1740.8043118549633,0.08671357142857071,2021-07-11,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1735.788315799644,1730.0125517398615,0.08671357142857071,2021-07-12,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1774.5080756169104,1728.2826824970236,0.08671357142857071,2021-07-13,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1821.7185918832956,1737.2187165725945,0.08671357142857071,2021-07-14,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1876.2798687067148,1758.157166514534,0.08671357142857071,2021-07-15,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1937.3988940039899,1792.2407976740524,0.08671357142857071,2021-07-16,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2004.4923711554827,1836.7942780276946,0.08671357142857071,2021-07-17,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2077.1199458716424,1889.6151518625254,0.08671357142857071,2021-07-18,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2154.9460322159694,1949.4948256362866,0.08671357142857071,2021-07-19,Uruguay,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2237.7148798085386,2015.6672262350905,0.08671357142857071,2021-07-20,Uruguay,,Plan 1
