C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,0,1,0,0,4,2,3,2,0,1808.371850838236,1745.3445061722846,1.0644411571334644,2021-03-21,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1740.5453619782002,1745.3445061722846,1.0644411571334644,2021-03-22,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1724.359982663606,1745.3445061722846,1.0644411571334644,2021-03-23,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1725.1122974757825,1745.3445061722846,1.0644411571334644,2021-03-24,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1731.40297933865,1745.3445061722846,1.0644411571334644,2021-03-25,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1739.4867494273622,1745.3445061722846,1.0644411571334644,2021-03-26,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1748.132321484154,1745.3445061722846,1.0644411571334644,2021-03-27,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1756.934204824475,1737.9962710274615,1.0644411571334644,2021-03-28,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1765.758140415761,1741.5980965185415,1.0644411571334644,2021-03-29,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1774.5589905806785,1748.7693833638373,1.0644411571334644,2021-03-30,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1783.3208774566,1757.0848947896686,1.0644411571334644,2021-03-31,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1792.0375338618774,1765.746974007273,1.0644411571334644,2021-04-01,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1800.7058673044162,1774.492562275423,1.0644411571334644,2021-04-02,United Arab Emirates,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,1809.323802434376,1783.2342024111692,1.0644411571334644,2021-04-03,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1832.9389592229447,1794.092024468093,0.8389316239316235,2021-04-04,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1870.557623346177,1809.0633791724383,0.8389316239316235,2021-04-05,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1917.9362690561552,1829.5458475260784,0.8389316239316235,2021-04-06,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1973.127623656623,1856.661096983224,0.8389316239316235,2021-04-07,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2035.075377249679,1891.3807888957672,0.8389316239316235,2021-04-08,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2103.1185323775744,1934.582598191933,0.8389316239316235,2021-04-09,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2176.8056458342526,1987.0800043919155,0.8389316239316235,2021-04-10,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2255.81676001799,2047.491118791208,0.8389316239316235,2021-04-11,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2339.9249663754017,2114.5435963668106,0.8389316239316235,2021-04-12,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2428.973926347384,2187.548975979844,0.8389316239316235,2021-04-13,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2522.862902098436,2266.082587185817,0.8389316239316235,2021-04-14,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2621.5359105895027,2349.8626633772205,0.8389316239316235,2021-04-15,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2724.9734859339405,2438.699085313844,0.8389316239316235,2021-04-16,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2833.18626073134,2532.4677445848565,0.8389316239316235,2021-04-17,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2946.209857356943,2631.095329918993,0.8389316239316235,2021-04-18,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3064.100780702205,2734.5490176799644,0.8389316239316235,2021-04-19,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3186.9330708407538,2842.8288954647314,0.8389316239316235,2021-04-20,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3314.7955414238904,2955.962129654082,0.8389316239316235,2021-04-21,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3447.78949054678,3073.998355362265,0.8389316239316235,2021-04-22,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3586.0267683427764,3197.0059671349554,0.8389316239316235,2021-04-23,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3729.628122402119,3325.069090230781,0.8389316239316235,2021-04-24,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3878.721769204951,3458.28507763764,0.8389316239316235,2021-04-25,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4033.442151710305,3596.7624163530822,0.8389316239316235,2021-04-26,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4193.9288188816745,3740.6189517875,0.8389316239316235,2021-04-27,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4360.3254097801055,3889.980361552673,0.8389316239316235,2021-04-28,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4532.778717346399,4044.9788225240472,0.8389316239316235,2021-04-29,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4711.43780110501,4205.751827204366,0.8389316239316235,2021-04-30,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4896.453139647976,4372.441115382346,0.8389316239316235,2021-05-01,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5087.975801706516,4545.191691453999,0.8389316239316235,2021-05-02,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5286.156625533705,4724.150902000198,0.8389316239316235,2021-05-03,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5491.145390523695,4909.467555091916,0.8389316239316235,2021-05-04,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5703.0899740212135,5101.291064269216,0.8389316239316235,2021-05-05,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5922.135487935831,5299.770602924849,0.8389316239316235,2021-05-06,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6148.423385263675,5505.05425780466,0.8389316239316235,2021-05-07,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6382.090534449795,5717.288171347776,0.8389316239316235,2021-05-08,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6623.26824704377,5936.615663538812,0.8389316239316235,2021-05-09,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6872.081301414738,6163.176331521817,0.8389316239316235,2021-05-10,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7128.646762790958,6397.105098988569,0.8389316239316235,2021-05-11,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7393.072996791458,6638.531245098604,0.8389316239316235,2021-05-12,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7665.458456653731,6887.577383486875,0.8389316239316235,2021-05-13,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7945.89046713292,7144.358395182482,0.8389316239316235,2021-05-14,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8234.443953609676,7408.980312205323,0.8389316239316235,2021-05-15,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8531.180117794273,7681.539150883966,0.8389316239316235,2021-05-16,United Arab Emirates,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8836.145061510782,7962.119688040543,0.8389316239316235,2021-05-17,United Arab Emirates,,Plan 1
